,Title,IMDB id,Year,Rating,Genre,Top_cast
355,O Saathiya,tt26243612,2023,6.7,"Comedy, Musical, Romance","Aryan Gowra, Mishti Chakravarty, Kalpalatha  "
356,Phir Bhi Dil Hai Hindustani,tt0222270,2000,6.1,"Comedy, Drama, Musical, Romance","Shah Rukh Khan, Juhi Chawla, Johny Lever  "
357,Amar Akbar Anthony,tt0075669,1977,7.4,"Action, Comedy, Drama, Music","Vinod Khanna, Rishi Kapoor, Amitabh Bachchan  "
358,Children's Party,tt1841542,2011,7.5," Comedy, Drama, Family","Irfan Khan, Sanath Menon, Rohan Grover  "
359,Love Per Square Foot,tt7853242,2018,7.2,"Comedy, Romance","Vicky Kaushal, Angira Dhar, Alankrita Sahai  "
360,Rehnaa Hai Terre Dil Mein,tt0299108,2001,7.5,"Comedy, Drama, Musical, Romance","Madhavan, Saif Ali Khan, Dia Mirza  "
361,Salaam Namaste,tt0456165,2005,6.1,"Comedy, Drama, Romance","Saif Ali Khan, Preity G Zinta, Arshad Warsi  "
362,Ishaqzaade,tt2308773,2012,6.5,"Action, Drama, Romance","Arjun Kapoor, Parineeti Chopra, Gauahar Khan  "
363,Once Upon a Time in Mumbaai,tt1395054,2010,7.4,"Action, Crime, Drama, Romance","Ajay Devgn, Emraan Hashmi, Kangana Ranaut  "
364,Baaghi,tt4864932,2016,5.3,"Action, Romance, Thriller","Tiger Shroff, Shraddha Kapoor, Sudheer Babu Po...  "
